Practices,Services,Solutions
No Practices Data Available,Data Maturity Assessment for Organisations,No Solutions Data Available
No Practices Data Available,Data Migration & Application Integration,No Solutions Data Available
No Practices Data Available,Data Strategy,No Solutions Data Available
No Practices Data Available,Database Administrator as a Service,No Solutions Data Available
No Practices Data Available,Managed Services,No Solutions Data Available
No Practices Data Available,Microsoft CSP Licensing,No Solutions Data Available
No Practices Data Available,Microsoft Fabric,No Solutions Data Available
No Practices Data Available,Modern Data Warehouse,No Solutions Data Available
No Practices Data Available,Power BI,No Solutions Data Available
No Practices Data Available,Power BI as a Service,No Solutions Data Available
No Practices Data Available,Rapid Azure Landing Zone,No Solutions Data Available
No Practices Data Available,Rapid Azure Sentinel Deployment,No Solutions Data Available
No Practices Data Available,Rapid Data Analytics Deployment,No Solutions Data Available
No Practices Data Available,Rapid Data Governance Quickstart,No Solutions Data Available
No Practices Data Available,Rapid Data Lake Ingestion Service,No Solutions Data Available
No Practices Data Available,Rapid Power BI Business Value,No Solutions Data Available
No Practices Data Available,Solution Envisioning,No Solutions Data Available
No Practices Data Available,Cloud,No Solutions Data Available
No Practices Data Available,Cloud - Engineering and DevOps,No Solutions Data Available
No Practices Data Available,Cloud Migration,No Solutions Data Available
No Practices Data Available,Cloud Security,No Solutions Data Available
No Practices Data Available,Digital Experience and Service Design,No Solutions Data Available
No Practices Data Available,FinOps,No Solutions Data Available
No Practices Data Available,Modern Digital Workplace,No Solutions Data Available
No Practices Data Available,Portfolio and Programme Delivery,No Solutions Data Available
No Practices Data Available,Technical Execution,No Solutions Data Available
No Practices Data Available,Technology Strategy,No Solutions Data Available
No Practices Data Available,CxO Advisory,No Solutions Data Available
No Practices Data Available,Cyber Security,No Solutions Data Available
No Practices Data Available,Data,No Solutions Data Available
No Practices Data Available,Digital,No Solutions Data Available
No Practices Data Available,Experience Transformation,No Solutions Data Available
No Practices Data Available,Intelligent Automation,No Solutions Data Available
No Practices Data Available,Operations,No Solutions Data Available
No Practices Data Available,People-Centred Change,No Solutions Data Available
No Practices Data Available,Strategy,No Solutions Data Available
No Practices Data Available,What we do,No Solutions Data Available
No Practices Data Available,Aerospace & Defense,No Solutions Data Available
No Practices Data Available,Artificial Intelligence,No Solutions Data Available
No Practices Data Available,Automotive & Industrial,No Solutions Data Available
No Practices Data Available,Consumer Products,No Solutions Data Available
No Practices Data Available,Corporate Strategy & Transformation,No Solutions Data Available
No Practices Data Available,Data Governance,Cybersecurity
No Practices Data Available,Data Governance,Data Analytics
No Practices Data Available,Data Governance,Privacy
No Practices Data Available,Data Governance,eDiscovery
No Practices Data Available,ESG,No Solutions Data Available
No Practices Data Available,Energy & Process Industries,No Solutions Data Available
No Practices Data Available,Financial Services,No Solutions Data Available
No Practices Data Available,Growth,No Solutions Data Available
No Practices Data Available,Healthcare & Life Sciences,No Solutions Data Available
No Practices Data Available,"Investigations, Disputes & Advisory Services",Compliance
No Practices Data Available,"Investigations, Disputes & Advisory Services",Disputes & Expert Services
No Practices Data Available,"Investigations, Disputes & Advisory Services",Economics Consulting
No Practices Data Available,"Investigations, Disputes & Advisory Services",Investigations
No Practices Data Available,"Investigations, Disputes & Advisory Services",Valuation
No Practices Data Available,Mergers & Acquisitions,No Solutions Data Available
No Practices Data Available,Organizational Transformation,No Solutions Data Available
No Practices Data Available,Private Equity & Investors,No Solutions Data Available
No Practices Data Available,"Restaurants, Hospitality, Travel & Leisure",No Solutions Data Available
No Practices Data Available,Retail,"Fashion, Apparel & Luxury"
No Practices Data Available,Retail,"Food, Drug, Mass & Club (FDMC)"
No Practices Data Available,Retail,General Merchandise
No Practices Data Available,Retail,Private Equity & Investors
No Practices Data Available,"Shipping, Logistics & Infrastructure","Investigations, Disputes & Valuation"
No Practices Data Available,"Shipping, Logistics & Infrastructure",Mergers & Acquisitions
No Practices Data Available,"Shipping, Logistics & Infrastructure",Performance & Technology
No Practices Data Available,"Shipping, Logistics & Infrastructure",Private Equity
No Practices Data Available,"Shipping, Logistics & Infrastructure",Turnaround & Restructuring
No Practices Data Available,Supply-Chain Management & Operations,No Solutions Data Available
No Practices Data Available,Technology,No Solutions Data Available
No Practices Data Available,"Technology, Media & Telecommunications",No Solutions Data Available
No Practices Data Available,Transformative Leadership,No Solutions Data Available
No Practices Data Available,Turnaround & Restructuring,No Solutions Data Available
AI & Tools,AI governance & security,"Establish the policies, standards, and practices you’ll need to use AI responsibly and protect your organisation from potential risks. You can realise the benefits of AI safe in the knowledge that the ethics, regulatory compliance, and risk management are covered."
AI & Tools,AI prototyping & proofs of concept,"Develop preliminary models that validate the effectiveness of AI for your organisation. This will help you to showcase core functionality, refine your ideas, and secure stakeholder buy-in. Allowing you to develop and implement AI with confidence."
AI & Tools,AI use case development,"Apply rigorous design thinking and rapid ideation to build a set of prioritised use cases for AI. This is done in the context of your organisational ambitions, so you can be sure that they’ll deliver value for your business."
AI & Tools,Coding assistance,"Implement the AI tools you need to equip your developers and engineers for success. Empowering them to accelerate your software development life cycle (SDLC) through AI-driven code suggestions, bug detection, and code completion. So they can focus on innovation."
AI & Tools,LLM & NLP training,Effectively leverage large language models (LLMs) and natural language processing (NLP) - algorithms that comprehend and generate human language. Empowering you to create AI content and deploy apps like chatbots to deliver great experiences and work more efficiently at scale.
AI & Tools,Machine learning,"Develop machine learning (AI/ML) models that can analyse your data at scale and pace. This will enable you to implement the predictive modelling and pattern recognition that delivers truly data-driven decision making, driving organisational growth."
Cloud,Cloud automation,"Operate in such a way that code changes are automatically built, tested, and integrated into a common repository that speeds up the deployment and frequency of your new releases. Unlocking the benefits of cloud automation through DevOps."
Cloud,Cloud migration,"Make informed choices when it comes to migrating your workloads to the cloud. Giving you confidence in selecting the right vendor, the most suitable services, and doing it all efficiently and cost-effectively."
Cloud,Cloud security,"Ensure that your data, applications, and operations are kept safe from evolving threats. Build in ‘security by design’ using DevSecOps principles, to provide you with complete confidence that you’re secure, compliant, and efficient."
Cloud,Cloud strategy,"Create the blueprint that aligns technology with your organisational objectives, setting you on the path towards optimised cloud operations, heightened flexibility, and cost efficiencies."
Cloud,Platform engineering,"Efficiently solve the complex problems that arise when building advanced platforms. Through the effective handling of intricate architectures and business logic, and management of the complex interactions between systems using DevOps principles."
Cloud,Solution architecture,"Lay the technological foundations that will turn your goals into reality. Seamlessly integrating diverse systems that will ensure scalability, reliability, and performance optimisation are at the core of your cloud architecture."
Consulting,Data,"Unlock the power of your existing data, and become equipped with the data-driven culture and ways of working you’ll need to harness your data, to make a remarkable impact."
Consulting,Delivery,"Improve the pace and quality of your delivery - working across your products, your people, and your technology to accelerate your time to value and team engagement."
Consulting,Efficiency,"Analyse your existing tools, talent, and ways of working to identify what’s working well, and what can be improved and how. This will allow you to unlock both operational efficiencies as well as additional value."
Consulting,Enablement,"Establish the gaps and opportunities within your technology estate and teams, to better support and enable your business aspirations, and accelerate your technology decisions."
Consulting,Propositions,"Identify, validate and launch new customer propositions. Enabling you to take remarkable new products and services to market quickly, increasing your revenue and driving your business forward."
Data,Agile data product development,"Make the most of your data through digital products that are designed and built to meet your business objectives. Our capabilities encompass data engineering, data integration and pipelines, data visualisation and dashboards, personalisation and recommendation engines, and artificial intelligence/machine learning (AI/ML) models. Critically, our Agile approach to product development will deliver value sooner, enabling you to quickly and effectively harness the power of your data."
Data,Data insights that drive action,"Gain a deeper understanding of how your business works, how your customers interact with your products and services, and how you can deliver remarkable digital experiences. Our expertise comprises forecasting and predictive analytics, customer segmentation and insight, product analytics, experimentation and testing strategies, measuring success, and effective data storytelling skills. Our approach will enable you to gain valuable insights into operational efficiencies, as well as customer behaviour, and will provide you with opportunities to develop and test new product features and offerings."
Data,Data-driven strategy & transformation,"Become intelligence-driven, with a clear vision and strategy for deriving maximum value from your data. Our proven approach will align to your business objectives and equip you with an enduring data-driven culture. Our capabilities include designing data strategies, assessing whether your data is “fit for purpose”, data and AI governance, and developing return on investment frameworks for your data. This will leave you with improved data fluency, as well as a culture powered by clear leadership and vision around data."
Data,Engineering data platforms for growth,"Unlock the full value of your data by breaking down your silos and freeing the data stored in inaccessible databases. Our goal is to build a modern data platform that makes it easy to meet your organisational ambitions. Our capabilities cover data platform engineering, data architecture, data modelling, and data meshes. With experience in all the major cloud providers, we’ll engineer scalable data platforms that make your data available everywhere it’s needed, and power your growth."
Equip,No Services Data Available,No Solutions Data Available
Experience Design,Content design,"It’s not just interfaces that need to be designed around your customers; so does your content. Craft and structure your content in a way that is meaningful and accessible, delivering a remarkable experience across all platforms and channels."
Experience Design,Customer & user testing,"By systematically evaluating your product with real users, you’ll uncover potential usability problems, gather valuable feedback, and validate your design decisions. This means you can be confident that your releases are effective and user-friendly."
Experience Design,Service design,"Design experiences that deliver service quality and customer satisfaction, by understanding your users needs and mapping their journeys. Driven by a methodical, consistent approach to creating and improving your products."
Experience Design,User experience prototyping,"Develop interactive high and low resolution prototypes of your product’s interface. Enabling design concepts to be tested, iterated, and refined with your target audience prior to development. So that you can be confident that the delivered product meets user needs."
Experience Design,User research,"Ensure that your digital products really resonate by systematically gathering and analysing valuable insights into the behaviours and preferences of your current and ideal users, then using this information to inform product design."
Mobile App Development,Mobile app development (native & hybrid),"Develop native mobile apps specifically for Android and iOS devices, optimising the functionality and user experience for each system. Alternatively, choose hybrid app development - using a single codebase to build apps that are compatible with multiple platforms, providing you with faster and more cost-effective development."
Mobile App Development,Mobile app interface design & build,"Effectively turn innovative design concepts into functional, engaging mobile apps that will make a remarkable impact and delight your customers. You can achieve this by crafting user interfaces that balance aesthetics, usability, and accessibility to maximise user experience and customer satisfaction on mobile devices. "
Mobile App Development,Mobile app prototyping & design,"Ensure that your mobile apps are aligned with both stakeholder and customer needs. We create both visual and functional mockups to illustrate and demonstrate how your final product will look and behave. This involves building interactive prototypes early in the development cycle, so that we can test ideas and gather user feedback."
Product Strategy,Business case development,"Getting stakeholder buy-in can be challenging, which is why developing a robust business case is key. Make a compelling case for investment and support by outlining the benefits, costs, risks and expected returns of your digital product."
Product Strategy,Product-oriented ways of working,"Adopt Agile methodologies and multi-disciplinary collaboration to continuously prioritise, develop, and enhance your digital products. Meaning you can quickly and continuously deliver customer value."
Product Strategy,Quality assurance,"To deliver a remarkable product experience you need quality assurance. Systematically test and validate your products to meet the highest standards, with an approach that employs behaviour-driven development using natural language, to promote collaboration and understanding."
Product Strategy,Service design,"Devise, test, and embed a creative process that will empower you to generate, refine, and select innovative and effective concepts for new digital products. You’ll have confidence that your products align with user needs, market demands, and your organisational goals."
Product Strategy,User story creation,"Understanding your customers is critical, that’s why it’s important to craft user-focused narratives for specific product features. By focusing on what your users need - and why - we’ll guide you towards effective product development and align your teams behind common goals."
Public Sector,No Services Data Available,No Solutions Data Available
Software Engineering,API & middleware development,"Seamlessly integrate your apps - streamline your data exchange, enhance your interoperability, and optimise your performance. By crafting the interfaces and intermediary connections that facilitate effective communication between the different software applications in your ecosystem."
Software Engineering,E-commerce,"Design and build online e-commerce platforms that are secure by design, user-friendly, and integrate easily with your preferred payment gateways, shopping carts, product information management (PIM), and content management systems (CMS). Providing a seamless, enjoyable shopping experience for your customers."
Software Engineering,Performance engineering,"Engineer your products and platforms with performance in mind - optimising them for speed and efficiency throughout the process of analysis, modelling, design, implementation, and testing. By iteratively tuning performance we can ensure that your products and platforms are both cost-effective and satisfy user demands."
Software Engineering,Prototyping & design,"Ensure that your products are aligned with both stakeholder and customer needs. We create both visual and functional mockups to illustrate and demonstrate how your final product will look and behave. This involves building interactive prototypes early in the development cycle, so that we can test ideas and gather user feedback."
Software Engineering,Quality assurance,"Implement systematic quality assurance processes to ensure that your products and platforms meet defined standards as well as user requirements. We test, validate, and verify to identify issues early in the development cycle. Ensuring quality and reliability alongside speed of delivery."
Software Engineering,Solution architecture & microservices,"Ensure that your complex software systems are both performant and maintainable by architecting your back-end systems into small, specialised, loosely coupled services using DevOps principles. Each operating independently and focused on a specific function in order to foster agility, scalability, and pace of development and deployment. "
Software Engineering,User interface design & build,"Craft user interfaces that balance aesthetics, usability, and accessibility to maximise user experience and customer satisfaction. We’re committed to effectively turning innovative design concepts into functional, engaging digital products that will make a remarkable impact and delight your customers."
Software Engineering,Websites & web apps,"Develop remarkable digital products for web browsers. Whether you’re looking for a full website design and build, or the creation of a web app to deliver a dynamic, interactive experience. Our breadth and depth of experience across programming languages and tech stack means we can deliver at pace."
No Practices Data Available,"Advanced analytics, ai/ml",No Solutions
No Practices Data Available,Application modernization,No Solutions
No Practices Data Available,Chaos engineering,No Solutions
No Practices Data Available,Cloud enablement,No Solutions
No Practices Data Available,Cloud migration,No Solutions
No Practices Data Available,Cloud native development,No Solutions
No Practices Data Available,Cloud strategy,No Solutions
No Practices Data Available,Compatibility testing,No Solutions
No Practices Data Available,Connected medical devices,No Solutions
No Practices Data Available,Custom application development,No Solutions
No Practices Data Available,Data engineering,No Solutions
No Practices Data Available,Data management & governance,No Solutions
No Practices Data Available,Data strategy,No Solutions
No Practices Data Available,Data visualization,No Solutions
No Practices Data Available,Devops,No Solutions
No Practices Data Available,Functional testing,No Solutions
No Practices Data Available,Intelligent testing,No Solutions
No Practices Data Available,Intelligent testing & automation for salesforce,No Solutions
No Practices Data Available,Interactive experiences,No Solutions
No Practices Data Available,Iot development,No Solutions
No Practices Data Available,Iot testing,No Solutions
No Practices Data Available,Low-code/no-code development,No Solutions
No Practices Data Available,Managed data services,No Solutions
No Practices Data Available,No Services,Apexclaims
No Practices Data Available,No Services,Apexed
No Practices Data Available,No Services,Apexems
No Practices Data Available,No Services,Cxwatch
No Practices Data Available,No Services,Edgedetect
No Practices Data Available,No Services,Intelpredict
No Practices Data Available,No Services,Payassure
No Practices Data Available,No Services,Talkatlve
No Practices Data Available,No Services,Vizsense
No Practices Data Available,No Services,Xtractiq
No Practices Data Available,Performance testing,No Solutions
No Practices Data Available,Quality engineering consulting,No Solutions
No Practices Data Available,Regression testing,No Solutions
No Practices Data Available,Salesforce,No Solutions
No Practices Data Available,Security testing,No Solutions
No Practices Data Available,Selenium-based test automation,No Solutions
No Practices Data Available,Service virtualization,No Solutions
No Practices Data Available,Site reliability engineering,No Solutions
No Practices Data Available,Test automation,No Solutions
No Practices Data Available,Testing centers of excellence,No Solutions
No Practices Data Available,Ux strategy & design,No Solutions
No Practices Data Available,Visual testing,No Solutions
No Practices Data Available,Wearable testing,No Solutions
No Practices Data Available,Corporate finance,Business-plan creation for purchasers and vendors
No Practices Data Available,Corporate finance,Commercial due diligence
No Practices Data Available,Corporate finance,Investment/divestment targeting and appraisal
No Practices Data Available,Corporate finance,Post-transaction support: post-merger integration
No Practices Data Available,Corporate finance,Post-transaction support: working-capital release
No Practices Data Available,Corporate finance,Restructurings and work-outs
No Practices Data Available,Corporate finance,Strategic financial modeling
No Practices Data Available,Corporate finance,Valuation
No Practices Data Available,Digital Shift,Communication & change
No Practices Data Available,Digital Shift,Data & analytics
No Practices Data Available,Digital Shift,Digital business models & customer value
No Practices Data Available,Digital Shift,"Ecosystems, processes, digital twins"
No Practices Data Available,Digital Shift,Empowerment & governance
No Practices Data Available,Digital Shift,Flywheel & ubiquity
No Practices Data Available,Digital Shift,Roadmap & monitor
No Practices Data Available,Digital Shift,Security & compliance
No Practices Data Available,Digital Shift,Technology & connectivity
No Practices Data Available,Digital Shift,The Human
No Practices Data Available,Digital problem solving,Augmented Decisions
No Practices Data Available,Digital problem solving,How
No Practices Data Available,Digital problem solving,Rapid Prototypes
No Practices Data Available,Digital problem solving,Technology Transformation
No Practices Data Available,Information management,Digital Architectures
No Practices Data Available,Information management,Digital Operating Model
No Practices Data Available,Information management,Digital Value
No Practices Data Available,Information management,IT as Business (and Digitalization) Enabler
No Practices Data Available,Marketing & sales,Commercial Excellence
No Practices Data Available,Marketing & sales,Customer Experience
No Practices Data Available,Marketing & sales,Customer Relationship Management
No Practices Data Available,Marketing & sales,Low-Income Consumer Strategy
No Practices Data Available,Marketing & sales,Market-Space Innovation
No Practices Data Available,Marketing & sales,Pricing & Bundling
No Practices Data Available,Marketing & sales,Sales-force Efficiency
No Practices Data Available,Operations management,Assets & capital projects
No Practices Data Available,Operations management,Future of operations (Industry 4.0)
No Practices Data Available,Operations management,Procurement & sourcing
No Practices Data Available,Operations management,Production & logistics
No Practices Data Available,Operations management,Supply chain management
No Practices Data Available,Operations management,Support organizations
No Practices Data Available,Operations management,Total company performance
No Practices Data Available,Organization & transformation,Ambidextrous organization
No Practices Data Available,Organization & transformation,Balanced scorecards (BSC)
No Practices Data Available,Organization & transformation,Change management
No Practices Data Available,Organization & transformation,Competence evaluation
No Practices Data Available,Organization & transformation,Integrated management systems
No Practices Data Available,Organization & transformation,Knowledge management
No Practices Data Available,Organization & transformation,Lean
No Practices Data Available,Organization & transformation,Organizational design
No Practices Data Available,Organization & transformation,Organizational learning
No Practices Data Available,Organization & transformation,Post-merger integration (PMI)
No Practices Data Available,Organization & transformation,Restructuring process
No Practices Data Available,Organization & transformation,Root-cause analysis
No Practices Data Available,Organization & transformation,Unwritten rules of the game™
No Practices Data Available,Risk,Enabling Risk Technology
No Practices Data Available,Risk,"Independent Reviews, Benchmark and Assessments"
No Practices Data Available,Risk,Risk Monitoring and Reporting
No Practices Data Available,Risk,Risk based decision-making
No Practices Data Available,Risk,Total Cost Of Risk (TCOR) Optimisation
No Practices Data Available,Strategy,Ambition-Driven Strategy & Condition-Driven Strategy
No Practices Data Available,Strategy,Business-Cycle Management
No Practices Data Available,Strategy,Diversification
No Practices Data Available,Strategy,Family-Business Strategy
No Practices Data Available,Strategy,Holding Strategy
No Practices Data Available,Strategy,Litigation & Dispute Resolution
No Practices Data Available,Strategy,Regulatory Strategy
No Practices Data Available,Strategy,Strategy by Analogy
No Practices Data Available,Strategy,Tender Management
No Practices Data Available,Strategy,Uncertain Environment
No Practices Data Available,Strategy,Value-Based Management (VBM)
No Practices Data Available,Strategy,“Why Strategy”
No Practices Data Available,Sustainability,Global Carbon Advisory Service
No Practices Data Available,Sustainability,Harness sustainability to drive innovation
No Practices Data Available,Sustainability,Integrate sustainability into your business processes
No Practices Data Available,Sustainability,Measure & report sustainability performance
No Practices Data Available,Sustainability,Sustainable Portfolio Management
No Practices Data Available,Sustainability,Understand sustainability opportunities and risks and develop strategy
No Practices Data Available,Technology & innovation management,Digital Problem Solving
No Practices Data Available,Technology & innovation management,Digital Shift
No Practices Data Available,Technology & innovation management,Global Innovation Excellence
No Practices Data Available,Technology & innovation management,Innovate for Growth
No Practices Data Available,Technology & innovation management,Innovate for Value
No Practices Data Available,Technology & innovation management,STRATEGIC IT
No Practices Data Available,Accessibility,Cloud and Infrastructure
No Practices Data Available,Accessibility,Digital Business Platforms
No Practices Data Available,Accessibility,Digital Workplace
No Practices Data Available,Accessibility,Technology Services
No Practices Data Available,Atos Bridge,Cloud and Infrastructure
No Practices Data Available,Atos Bridge,Digital Business Platforms
No Practices Data Available,Atos Bridge,Digital Workplace
No Practices Data Available,Atos Bridge,Technology Services
No Practices Data Available,Atos Inno’Labs,Cloud and Infrastructure
No Practices Data Available,Atos Inno’Labs,Digital Business Platforms
No Practices Data Available,Atos Inno’Labs,Digital Workplace
No Practices Data Available,Atos Inno’Labs,Technology Services
No Practices Data Available,Digital Workplace Platforms,Cloud and Infrastructure
No Practices Data Available,Digital Workplace Platforms,Digital Business Platforms
No Practices Data Available,Digital Workplace Platforms,Digital Workplace
No Practices Data Available,Digital Workplace Platforms,Technology Services
No Practices Data Available,Engaged Employee Experience,Cloud and Infrastructure
No Practices Data Available,Engaged Employee Experience,Digital Business Platforms
No Practices Data Available,Engaged Employee Experience,Digital Workplace
No Practices Data Available,Engaged Employee Experience,Technology Services
No Practices Data Available,Hybrid Cloud Platforms,Cloud and Infrastructure
No Practices Data Available,Hybrid Cloud Platforms,Digital Business Platforms
No Practices Data Available,Hybrid Cloud Platforms,Digital Workplace
No Practices Data Available,Hybrid Cloud Platforms,Technology Services
No Practices Data Available,Integration & VAR Services,Cloud and Infrastructure
No Practices Data Available,Integration & VAR Services,Digital Business Platforms
No Practices Data Available,Integration & VAR Services,Digital Workplace
No Practices Data Available,Integration & VAR Services,Technology Services
No Practices Data Available,Intelligent Care Center,Cloud and Infrastructure
No Practices Data Available,Intelligent Care Center,Digital Business Platforms
No Practices Data Available,Intelligent Care Center,Digital Workplace
No Practices Data Available,Intelligent Care Center,Technology Services
No Practices Data Available,Intelligent Collaboration,Cloud and Infrastructure
No Practices Data Available,Intelligent Collaboration,Digital Business Platforms
No Practices Data Available,Intelligent Collaboration,Digital Workplace
No Practices Data Available,Intelligent Collaboration,Technology Services
No Practices Data Available,Intelligent Networks,Cloud and Infrastructure
No Practices Data Available,Intelligent Networks,Digital Business Platforms
No Practices Data Available,Intelligent Networks,Digital Workplace
No Practices Data Available,Intelligent Networks,Technology Services
No Practices Data Available,Maintenance & Support Services,Cloud and Infrastructure
No Practices Data Available,Maintenance & Support Services,Digital Business Platforms
No Practices Data Available,Maintenance & Support Services,Digital Workplace
No Practices Data Available,Maintenance & Support Services,Technology Services
No Practices Data Available,Modern Mainframe,Cloud and Infrastructure
No Practices Data Available,Modern Mainframe,Digital Business Platforms
No Practices Data Available,Modern Mainframe,Digital Workplace
No Practices Data Available,Modern Mainframe,Technology Services
No Practices Data Available,Olympic & Paralympic Games,Cloud and Infrastructure
No Practices Data Available,Olympic & Paralympic Games,Digital Business Platforms
No Practices Data Available,Olympic & Paralympic Games,Digital Workplace
No Practices Data Available,Olympic & Paralympic Games,Technology Services
No Practices Data Available,Sports & Major Events,Cloud and Infrastructure
No Practices Data Available,Sports & Major Events,Digital Business Platforms
No Practices Data Available,Sports & Major Events,Digital Workplace
No Practices Data Available,Sports & Major Events,Technology Services
No Practices Data Available,Sustainability Services,Cloud and Infrastructure
No Practices Data Available,Sustainability Services,Digital Business Platforms
No Practices Data Available,Sustainability Services,Digital Workplace
No Practices Data Available,Sustainability Services,Technology Services
No Practices Data Available,Sustainable Digital Workplace,Cloud and Infrastructure
No Practices Data Available,Sustainable Digital Workplace,Digital Business Platforms
No Practices Data Available,Sustainable Digital Workplace,Digital Workplace
No Practices Data Available,Sustainable Digital Workplace,Technology Services
No Practices Data Available,Technology Consulting,Cloud and Infrastructure
No Practices Data Available,Technology Consulting,Digital Business Platforms
No Practices Data Available,Technology Consulting,Digital Workplace
No Practices Data Available,Technology Consulting,Technology Services
No Practices Data Available,UEFA EURO 2024 IT partner,Cloud and Infrastructure
No Practices Data Available,UEFA EURO 2024 IT partner,Digital Business Platforms
No Practices Data Available,UEFA EURO 2024 IT partner,Digital Workplace
No Practices Data Available,UEFA EURO 2024 IT partner,Technology Services
No Practices Data Available,No Services Data Available,Advance Detection and Response
No Practices Data Available,No Services Data Available,App Modernization
No Practices Data Available,No Services Data Available,Artificial Intelligence
No Practices Data Available,No Services Data Available,Automation and Robotics
No Practices Data Available,No Services Data Available,Business Accelerators (SAP)
No Practices Data Available,No Services Data Available,Cloud Security
No Practices Data Available,No Services Data Available,"Codex, Connected Intelligence"
No Practices Data Available,No Services Data Available,Critical Communications for Industry
No Practices Data Available,No Services Data Available,Critical Communications for Missions
No Practices Data Available,No Services Data Available,Customer Journey Analytics
No Practices Data Available,No Services Data Available,Data Center to Cloud
No Practices Data Available,No Services Data Available,Data Protection and Governance
No Practices Data Available,No Services Data Available,Digital Cloud Platforms
No Practices Data Available,No Services Data Available,Digital Customer Experience
No Practices Data Available,No Services Data Available,Digital Transformation Consulting
No Practices Data Available,No Services Data Available,Digital Workplace
No Practices Data Available,No Services Data Available,Digital Workplace Security
No Practices Data Available,No Services Data Available,Edge Computing
No Practices Data Available,No Services Data Available,High End Server
No Practices Data Available,No Services Data Available,High Performance Computing
No Practices Data Available,No Services Data Available,Integrated Systems
No Practices Data Available,No Services Data Available,Internet of Things
No Practices Data Available,No Services Data Available,IoT and OT security
No Practices Data Available,No Services Data Available,Managed Services
No Practices Data Available,No Services Data Available,Multi-Sourcing Service Integration
No Practices Data Available,No Services Data Available,Quantum Computing
No Practices Data Available,No Services Data Available,Testing
No Practices Data Available,No Services Data Available,Trusted Digital Identities
No Practices Data Available,No Services Data Available,Unified Communications & Collaboration
No Practices Data Available,"Analytics, Data and AI",No Solutions Data Available
No Practices Data Available,"Analytics, Data and AI",No Solutions Data Available
No Practices Data Available,"Analytics, Data and AI",No Solutions Data Available
No Practices Data Available,"Analytics, Data and AI",No Solutions Data Available
No Practices Data Available,"Analytics, Data and AI",No Solutions Data Available
No Practices Data Available,"Analytics, Data and AI",No Solutions Data Available
No Practices Data Available,"Analytics, Data and AI",No Solutions Data Available
No Practices Data Available,Cloud and Applications,No Solutions Data Available
No Practices Data Available,Cloud and Applications,No Solutions Data Available
