Date Collected,Company Name,URL,"Practice Ecosystems (Data, AI etc)",Practice List (delimited),Training Program Duration,Tech Partnerships,Anecdotal Views of Quality,Consultant Pricing
29/05/2024,Fjord Consulting Group,,,,No data found,No data found,No data found,No data found
29/05/2024,Sparta Global,,,,"8-10 weeks: ""The first 8-10 weeks of your employment will be 8-10 weeks of training in your chosen specialism.""",ServiceNow Placement Partner Program; SAP; SFIA Foundation,Glassdoor 3.7/5 (489 Reviews); Indeed 3.2/5 (30 Reviews); King's Award for Enterprise; Certified B Corporation; TOP 75 Employer Index 2022; Youth Verified; BEST EMPLOYER FOR TRAINING; BEST TECH EMPLOYER (OVER 500 EMPLOYEES),"£250 to £1,100 a unit a day"
29/05/2024,Ten10,,,,"6-week + Unspecified role based training: ""After your initial six-week training, taught at Ten10’s dedicated facility in Leeds and covering all aspects of the SDLC (Software Development Lifecycle), you’ll be given further role-based specialist training.""",No information found,"Glassdoor 4.1/5 (152 Reviews), Indeed 3.6/5 (9 Reviews)","£285 to £1,155 a unit a day"
29/05/2024,Credera,,,,"10 weeks: Credera brings together students from universities across the country to experience a 10-week, immersive internship program",Acquia; Adobe; AWS; Google Cloud; Pega; Salesforce; Microsoft; Databricks; Snaplogic,Glassdoor 3.7/5 (621 Reviews); Indeed 3.9 (10 Reviews); Forbes List of World's Best Management Consulting Firms 2022 & 2023; More at https://www.credera.com/en-us/awards-and-recognition,"£510.00 to £2,195.00 a unit a day"
29/05/2024,Infinite Lambda,,,,"3 months: ""3 months of intensive training in the tech you need followed by 9 months of experience with real-world projects."" ; ",Snowflake; dbt Labs; VaultSpeed; AWS,Glassdoor 4.2/50 (13 Reviews); 2022 dbt Labs Platinum Certification Award; FIVETRAN REGIONAL INNOVATION PARTNER OF THE YEAR FOR EMEA,"£350 to £1,400 a unit a day"
29/05/2025,Capgemini SE,,,,2 year graduate programme with training,"MySQL', 'Hewlett Packard Enterprise', 'Salesforce', 'Amazon Web Services', 'Oracle', 'Google', 'Adobe', 'Microsoft', 'Red Hat', 'VMware', 'Dell', 'Stripe', 'IBM', 'Esri', 'Fortinet', 'Magento', 'SAP', 'SAS', 'Intel', 'Tenable', 'Nutanix', 'ServiceNow', 'Cisco', 'Snowflake', 'Qlik'",3.8 on Glassdoor (66493 total reviews)',£312 a unit a day
29/05/2026,FDM Group (Holdings) Ltd,,,,7-12 weeks training,Murex,3.2 on Glassdoor (3350 total reviews),£290 to £600 a unit a day
29/05/2027,Slalom,,,,,"Salesforce', 'Amazon Web Services', 'Google', 'Adobe', 'Microsoft', 'Facebook', 'Stripe', 'SAS', 'Snowflake', 'Qlik', 'Acquia', 'AgilOne', 'Netsuite', 'Tableau Software', 'Workday', 'Optimizely', 'Looker', 'MuleSoft', 'Docusign', 'Drupal', 'Sitecore', 'Tealium', 'Veeva Systems', 'Box', 'Alteryx'",3.9 on Glassdoor (2881 total reviews),"£636 to £1,938 a unit a day"
29/05/2028,Tata Consultancy Services Limited,,,,,"MySQL', 'Hewlett Packard Enterprise', 'Salesforce', 'Amazon Web Services', 'Oracle', 'Google', 'Adobe', 'Microsoft', 'Red Hat', 'VMware', 'Dell', 'IBM', 'Fortinet', 'Magento', 'SAP', 'Symantec CloudSOC', 'SAS', 'Zendesk', 'Nutanix', 'ServiceNow', 'Cisco', 'Snowflake', 'Siemens PLM', 'Qlik', 'Quest Software'",3.7 on Glassdoor (136742 total reviews),£127 a unit a day
29/05/2029,Wipro Limited,,,,"15 monthsleadership training, including 3 months of consultancy training","MySQL', 'Hewlett Packard Enterprise', 'Salesforce', 'Amazon Web Services', 'Oracle', 'Google', 'HubSpot', 'Adobe', 'Microsoft', 'Red Hat', 'VMware', 'Dell', 'IBM', 'Esri', 'Fortinet', 'Magento', 'SAP', 'Symantec CloudSOC', 'SAS', 'Intel', 'Tenable', 'Nutanix', 'ServiceNow', 'Cisco', 'Snowflake'",,"£120 to £1,300 a unit a day"
